ID,Text,Region,Context,Surface_Meaning,Intended_Meaning,Intent_Type,Emotion,Emotion_Intensity,Sarcasm,Sarcasm_Intensity,Polarity_Surface,Polarity_Intent,Relation,Customer_Service,Complaint,Escalation_Risk,Explanation,Source
LUB2-V2-0001,ما شاء الله على سرعة الإسعاف، وصلوا بعد ما خلصت الأزمة,الوسطى,اتصل شخص بالإسعاف لحالة اختناق لدى والده ووصل الفريق بعد أربعين دقيقة بعدما نقله الجيران بسيارة خاصة,مدح للسرعة,انتقاد ساخر لبطء الاستجابة,سخرية,غضب,5,نعم,5,إيجابي,سلبي,غير مرتبط,نعم,نعم,مرتفع,المدح الظاهر للسرعة ينقضه ذكر الوصول بعد انتهاء الحالة مما يكشف استنكارًا حادًا,V2_500
LUB2-V2-0002,الإسعاف وصل خلال سبع دقايق والفريق كان محترف جدًا,الشرقية,اتصلت عائلة للإسعاف بعد سقوط الجد ووصل الفريق سريعًا وأسعفه في المكان,مدح,شكر ومدح حقيقي,مدح,امتنان,5,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,الرقم المحدد والسلوك الموصوف يجعلان المدح واقعيًا ويشكل مقابلًا مباشرًا للحالة الساخرة,V2_500
LUB2-V2-0003,الدكتور ما رفع عينه من الشاشة طول الكشف,الشمالية,زار مريض عيادة واستمر الطبيب في الكتابة على النظام دون النظر إليه أو فحصه,وصف لسلوك,شكوى من ضعف التواصل الطبي,شكوى,استياء,4,لا,0,سلبي,سلبي,مرتبط,نعم,نعم,متوسط,سرد وقائعي يحمل شكوى واضحة من أسلوب التعامل لا من التشخيص نفسه,V2_500
LUB2-V2-0004,الدكتورة سألتني عن كل شي وشرحت لي الخطة قبل ما أطلع,الجنوبية,أخذت الطبيبة تاريخًا مرضيًا مفصلًا وشرحت خطة العلاج للمريضة بلغة مبسطة,مدح,شكر وتقدير حقيقي,مدح,تقدير,4,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,السلوك المهني المحدد المذكور يجعل الثناء موثقًا لا عبارة مجاملة عامة,V2_500
LUB2-V2-0005,موعدي بعد سبعة أشهر، إن شاء الله أكون طيب قبلها,الحجازية,حجز مريض موعدًا في عيادة تخصصية فكان أقرب موعد متاح بعد سبعة أشهر رغم حاجته العاجلة,تعليق متفائل,تهكم على طول فترة الانتظار,سخرية,إحباط,4,نعم,4,إيجابي,سلبي,غير مرتبط,نعم,نعم,مرتفع,التمني الظاهر بالشفاء يستخدم للتعريض بطول المدة التي تلغي جدوى الموعد,V2_500
LUB2-V2-0006,ممكن أعرف هل التحليل يحتاج صيام قبله؟,الوسطى,تستفسر مريضة عن شروط تحليل مخبري قبل زيارتها للمختبر,استفسار,استفسار حقيقي محايد,استفسار,حياد,1,لا,0,محايد,محايد,مرتبط,نعم,لا,منخفض,سؤال معلوماتي بحت لا يحمل شكوى ولا شحنة عاطفية,V2_500
LUB2-V2-0007,التأمين يغطي كل شي إلا اللي أحتاجه,الشرقية,اكتشف المؤمن عليه أن وثيقته تستثني تحديدًا العلاج الذي يحتاجه رغم شمولها لخدمات كثيرة,وصف للتغطية,انتقاد ساخر لثغرات الوثيقة,سخرية,خيبة أمل,4,نعم,4,محايد,سلبي,غير مرتبط,نعم,نعم,متوسط,المفارقة بين شمول التغطية واستثناء الحاجة الفعلية هي مصدر السخرية,V2_500
LUB2-V2-0008,التأمين غطى العملية كاملة وما دفعت شي زيادة,الشمالية,خضع المريض لعملية وتمت الموافقة التأمينية بالكامل دون مبالغ إضافية,إبلاغ,رضا حقيقي,رضا,ارتياح,4,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,النتيجة المالية الواقعية تجعل الرضا مبنيًا على تجربة إيجابية ملموسة,V2_500
LUB2-V2-0009,طلب الموافقة مرفوض والسبب غير مذكور,الجنوبية,رُفض طلب موافقة تأمينية لإجراء تشخيصي برسالة مقتضبة بلا تبرير,إبلاغ,شكوى من غموض القرار,شكوى,ارتباك,3,لا,0,سلبي,سلبي,مرتبط,نعم,نعم,متوسط,الاعتراض موجه لغياب التبرير لا للقرار ذاته وهو ما يفسر الارتباك بدل الغضب,V2_500
LUB2-V2-0010,يعطيكم العافية على الترتيب، ثلاث ساعات انتظار لكشف خمس دقايق,الحجازية,انتظر مراجع في طوارئ غير مزدحمة ثلاث ساعات ثم استغرق الكشف دقائق معدودة,شكر,تهكم على سوء إدارة الوقت,سخرية,نفاد صبر,4,نعم,4,إيجابي,سلبي,غير مرتبط,نعم,نعم,متوسط,الفجوة بين مدة الانتظار ومدة الخدمة مفارقة تحول الشكر إلى انتقاد,V2_500
LUB2-V2-0011,يعطيكم العافية، دخلت بموعدي بالضبط وما انتظرت,الوسطى,حضرت المريضة قبل موعدها بقليل ودخلت في الوقت المحدد تمامًا,شكر,شكر حقيقي,شكر,رضا,3,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,الالتزام بالموعد واقعة إيجابية تجعل الشكر مطابقًا للمقصد,V2_500
LUB2-V2-0012,الصيدلية تقول الدواء غير متوفر من ثلاث شهور,الشرقية,يبحث مريض مزمن عن دوائه في صيدلية المستشفى ويتلقى نفس الرد منذ أشهر,وصف للوضع,شكوى من انقطاع الدواء,شكوى,قلق,4,لا,0,سلبي,سلبي,مرتبط,نعم,نعم,مرتفع,انقطاع دواء مزمن لثلاثة أشهر مشكلة صحية جدية تفسر ارتفاع القلق واحتمال التصعيد,V2_500
LUB2-V2-0013,الصيدلي راجع معي كل الأدوية وحذرني من تعارض بينها,الشمالية,اكتشف الصيدلي تعارضًا بين دوائين موصوفين للمريضة ونبهها قبل الصرف,مدح,شكر وتقدير حقيقي,شكر,امتنان,5,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,تفادي ضرر صحي محتمل يفسر الدرجة المرتفعة من الامتنان في التعبير,V2_500
LUB2-V2-0014,أنا ما أبي أزعجكم، بس والدتي تعبانة من الصبح,الجنوبية,ينتظر ابن مع والدته المريضة في صالة الانتظار منذ ساعات ويخاطب موظف الاستقبال بتلطف,تلطف,طلب عاجل مغلف بالأدب,طلب,قلق,4,لا,0,محايد,سلبي,مرتبط جزئيًا,نعم,لا,متوسط,الصياغة المهذبة تخفض النبرة لكن حالة المريضة تجعل الطلب عاجلًا وذا شحنة عالية,V2_500
LUB2-V2-0015,التقرير الطبي صدر بعد شهر وأنا أحتاجه لإجازة أسبوعين,الحجازية,طلب موظف تقريرًا طبيًا لإثبات إجازته المرضية ولم يصدر إلا بعد انتهاء الحاجة إليه,وصف للوضع,شكوى من تأخر الإجراء,شكوى,إحباط,4,لا,0,سلبي,سلبي,مرتبط,نعم,نعم,متوسط,المفارقة الزمنية مذكورة وقائعيًا وليست ساخرة لكنها تكشف ضررًا فعليًا,V2_500
LUB2-V2-0016,أشكر قسم التمريض، تعاملهم مع والدي كان راقي طول أسبوع التنويم,الوسطى,بقي الوالد منومًا أسبوعًا وتلقى رعاية منتظمة وتعاملًا محترمًا من الطاقم,شكر,شكر حقيقي,شكر,امتنان,5,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,المدة الطويلة للتجربة تعطي الشكر مصداقية وتجعله تقييمًا مستقرًا لا انطباعًا عابرًا,V2_500
LUB2-V2-0017,طبعًا كل مرة أعيد نفس الفحوصات لأن الملف ما ينتقل بين الفروع,الشرقية,أُحيل مريض من فرع لآخر وطُلب منه إعادة تحاليل أجراها قبل أسبوع,وصف للوضع,شكوى من ضعف الربط بين الأنظمة,شكوى,نفاد صبر,4,نعم,2,محايد,سلبي,غير مرتبط,نعم,نعم,مرتفع,كلمة طبعًا تحمل تهكمًا خفيفًا وتشير إلى نمط متكرر من الهدر في الوقت والتكلفة,V2_500
LUB2-V2-0018,ممتاز إن الملف الطبي صار إلكتروني، وفر علي كل الأوراق,الشمالية,استخدم المريض النظام الموحد ووجد سجله متاحًا في مستشفى مختلف دون أوراق,مدح,رضا حقيقي,رضا,ارتياح,4,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,الفائدة محددة وملموسة مما يجعل المدح مرتبطًا بتجربة ناجحة فعلًا,V2_500
LUB2-V2-0019,أنا مو مستعجل على النتيجة، بس هي جاهزة من أسبوع,الجنوبية,ظهرت نتيجة الفحص في النظام منذ أسبوع ولم يتم إبلاغ المريض أو مناقشتها معه,نفي الاستعجال,شكوى من عدم الإبلاغ,شكوى,انزعاج,3,نعم,2,محايد,سلبي,غير مرتبط,نعم,نعم,متوسط,نفي الاستعجال تلطيف شكلي ينقضه الشطر الثاني الذي يكشف تقصيرًا في التواصل,V2_500
LUB2-V2-0020,الله يشفيك ويعافيك، لا تشيل هم من الفحص,الحجازية,تطمئن صديقة صديقتها القلقة قبل إجراء فحص روتيني بسيط,دعاء وطمأنة,مواساة حقيقية,مواساة,تعاطف,4,لا,0,إيجابي,إيجابي,مرتبط,لا,لا,منخفض,الدعاء والطمأنة يتوافقان مع سياق داعم خالٍ من أي مفارقة,V2_500
LUB2-V2-0021,أخذت رقم وانتظرت وطلع إن النظام ما سجل الرقم أصلًا,الوسطى,انتظر مراجع ساعتين ثم اكتشف أن جهاز إصدار الأرقام لم يسجل دوره في النظام,سرد واقعة,شكوى من خلل تقني,شكوى,غضب,4,لا,0,سلبي,سلبي,مرتبط,نعم,نعم,مرتفع,الضرر ملموس وهو ضياع ساعتين بسبب خلل في النظام مما يبرر شدة الانفعال,V2_500
LUB2-V2-0022,شكرًا للموظفة اللي انتبهت إن دوري تخطى وأعادت ترتيبه,الشرقية,لاحظت موظفة الاستقبال خطأ في الترتيب وأعادت المراجع لموقعه الصحيح دون أن يطلب,شكر,شكر حقيقي,شكر,تقدير,4,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,المبادرة الاستباقية من الموظفة واقعة محددة تدعم صدق الشكر,V2_500
LUB2-V2-0023,الغرفة نظيفة والخدمة منتظمة، ما توقعت هالمستوى,الشمالية,نُقلت مريضة لغرفة تنويم ووجدت النظافة والمتابعة أفضل من توقعاتها,مدح,رضا حقيقي,رضا,فرح,4,لا,0,إيجابي,إيجابي,مرتبط,نعم,لا,منخفض,تجاوز التوقعات مذكور صراحة مما يعزز صدق التقييم الإيجابي,V2_500
LUB2-V2-0024,براحتكم في تحديث النظام، المرضى ينتظرون بس,الجنوبية,توقف النظام عن العمل أثناء ساعات الذروة وتُرك المراجعون بلا معلومات لساعة,منح مهلة,تهكم واحتجاج على التوقيت,سخرية,نفاد صبر,4,نعم,4,محايد,سلبي,غير مرتبط,نعم,نعم,مرتفع,منح المهلة الظاهر يتناقض مع الإشارة لانتظار المرضى فيتحول لاحتجاج ساخر,V2_500
LUB2-V2-0025,أحتاج أعرف جرعة الدواء بالضبط لأن الورقة ما فيها توضيح,الحجازية,صُرف الدواء للمريض بدون تعليمات مكتوبة واضحة عن الجرعة,طلب توضيح,طلب حقيقي مع قلق,طلب,قلق,3,لا,0,محايد,سلبي,مرتبط,نعم,لا,متوسط,الطلب مشروع ومهم صحيًا ويعكس قلقًا حقيقيًا لا اعتراضًا على الخدمة,V2_500
